architectural_archetype,stories,soil_class,seismic_zone,connection_system,Tx(s),Ty(s)
C,5,D,1,ATS,0.5463549539672038,0.48137530925745153
C,5,D,1,ATS,0.6477301497224263,0.6159493948576307
C,5,C,1,ATS,0.6275910914718712,0.5185658991277703
C,5,C,1,ATS,0.964935474326554,0.7161204241529118
C,5,B,1,ATS,0.8290564359762846,0.6470538261075255
C,5,B,1,ATS,0.964935474326554,0.737975682826747
C,5,A,1,ATS,0.8433392148204636,0.7026260771810774
C,5,A,1,ATS,0.9901765869839853,0.737975682826747
C,6,B,3,ATS,0.6936972532686,0.660990317042307
C,6,B,3,ATS,0.697159443789109,0.682621822871146
C,6,D,1,ATS,0.654053342722503,0.603342678444175
C,6,D,1,ATS,0.654053342722503,0.603342678444175
C,3,D,3,HD,0.31690000714364175,0.29162152492607646
C,3,D,3,HD,0.37769631020033434,0.3737573314794152
C,3,C,3,HD,0.3511600047403684,0.3127972655806266
C,3,C,3,HD,0.3916461742300077,0.38773045013755125
C,3,B,3,HD,0.3599168636128908,0.3182280020379027
C,3,B,3,HD,0.4495000104868179,0.39585344866033023
C,3,A,3,HD,0.5814234824661538,0.41255411285942284
C,3,A,3,HD,0.6114934804322991,0.4640344930797703
C,3,D,1,HD,0.478911628577766,0.4085571918376685
C,3,D,1,HD,0.5577556996515507,0.44722760700144204
C,3,C,1,HD,0.5220776068725045,0.43056574448989393
C,3,C,1,HD,0.6225321533935925,0.4516994718878247
C,3,B,1,HD,0.6071148515197772,0.4419165599208566
C,3,B,1,HD,0.6660756773350424,0.4864419556370456
C,3,A,1,HD,0.6580608652877019,0.49578830521101497
C,3,A,1,HD,0.6660756773350424,0.49578830521101497
C,4,B,3,HD,0.5983115462348487,0.48617848789697915
C,4,A,3,HD,0.663983790414682,0.5395779456645223
C,4,A,3,HD,0.6995169671233947,0.5627954462239871
C,4,D,1,HD,0.5191912598025902,0.47697753243694585
C,4,D,1,HD,0.5972508552585091,0.5353509789235444
C,4,C,1,HD,0.6148877441369475,0.4900745795251896
C,4,C,1,HD,0.8004975959756364,0.5574994979414555
C,4,B,1,HD,0.7753060243281541,0.5664167637438137
C,4,B,1,HD,0.7995428106131544,0.6070157391697798
C,4,A,1,HD,0.7953786366186466,0.6318023305750576
C,4,A,1,HD,0.8292832846207351,0.6386750767462296
C,5,A,3,HD,0.6662179030976967,0.6035435224198863
C,5,A,3,HD,0.75238308684559,0.7018799397058513
C,5,C,1,HD,0.947887634074062,0.7249974867008252
C,5,B,1,HD,0.9183705751935538,0.7116304581764347
C,5,B,1,HD,0.9739375427114233,0.7573609808930712
C,5,A,1,HD,0.9717430905598342,0.7518041818314414
C,5,A,1,HD,0.9955269073773535,0.7625921945106006
Q,5,D,3,ATS,0.4095478662127452,0.42361262526656207
Q,5,C,3,ATS,0.3898808150221476,0.4083737482574076
Q,5,C,3,ATS,0.43063709762449365,0.423886753055761
Q,5,B,3,ATS,0.39798836219971284,0.4642444559959319
Q,5,B,3,ATS,0.45095218074780735,0.6706023588135842
Q,5,A,3,ATS,0.6159663874788516,0.6435371541994671
Q,5,A,3,ATS,0.7183782319438471,0.7310219811396896
Q,5,D,1,ATS,0.4603516141739922,0.5296758302001225
Q,5,D,1,ATS,0.5942643294624581,0.6237069478740976
Q,5,C,1,ATS,0.5379081689292923,0.6307925410013018
Q,5,C,1,ATS,0.8740506760944572,0.8586390304473692
Q,5,B,1,ATS,0.7415426667056149,0.7442462421931583
Q,5,B,1,ATS,0.8769444391687439,0.8586390304473692
Q,5,A,1,ATS,0.7712625929813238,0.8041232593756694
Q,5,A,1,ATS,0.8855576273498001,0.8586664031239233
Q,3,D,3,HD,0.27650879568399767,0.3196923395744231
Q,3,D,3,HD,0.33246024024991244,0.35804479504197745
Q,3,C,3,HD,0.30953205506483833,0.3389244082041092
Q,3,C,3,HD,0.3623032039896189,0.38603930388335006
Q,3,B,3,HD,0.3129093404191694,0.35228037925840416
Q,3,B,3,HD,0.37952712948065376,0.3874491323172421
Q,3,A,3,HD,0.49904572434326355,0.5015600503231099
Q,3,A,3,HD,0.5287109822161008,0.5232633521075585
Q,3,D,1,HD,0.4377260517879828,0.4561816809238512
Q,3,D,1,HD,0.5003263954488208,0.48673795506021794
Q,3,C,1,HD,0.4639683646061158,0.4783365790451123
Q,3,C,1,HD,0.5111524443039152,0.5247721174284325
Q,3,B,1,HD,0.5153826940208718,0.5252618337958135
Q,3,B,1,HD,0.5546236122823396,0.5627121035485938
Q,3,A,1,HD,0.5970108630260406,0.5750074953274317
Q,3,A,1,HD,0.5973536706195308,0.5750074953274317
Q,4,B,3,HD,0.4210836107534637,0.5203569642824648
Q,4,A,3,HD,0.5912722693072288,0.6194154768215416
Q,4,A,3,HD,0.6306643561552484,0.643752760619215
Q,4,D,1,HD,0.3844308928165487,0.5017309557434602
Q,4,D,1,HD,0.5445500421454323,0.5611825232721439
Q,4,C,1,HD,0.4360166687548195,0.5624400888962727
Q,4,C,1,HD,0.6460257559808776,0.649899472119635
Q,4,B,1,HD,0.6640375825346002,0.6677635147819841
Q,4,B,1,HD,0.704820283322128,0.6908853976177117
Q,4,A,1,HD,0.7070701936637925,0.7015296851011343
Q,4,A,1,HD,0.7104675971888177,0.7036080186044529
Q,5,A,3,HD,0.7037315056029569,0.7261841204744569
Q,5,C,1,HD,0.8765008639273095,0.8538454164022174
Q,5,B,1,HD,0.8361568079504119,0.8499281529553053
Q,5,B,1,HD,0.8814942691973,0.8621293273432215
Q,5,A,1,HD,0.862623979854852,0.8555795490984299
Q,5,A,1,HD,0.8843359019720531,0.8846100311401013
