0,1,2,3,4,5,6
1.0,5.0,1.0,3.0,8.0,0.23288366,0.31221375
1.0,8.0,2.0,1.0,7.0,0.4146727,0.36971423
1.0,12.0,1.0,3.0,13.0,0.49042353,0.49171337
1.0,15.0,1.0,3.0,12.0,0.9299712,0.84250844
1.0,8.0,1.0,4.0,12.0,0.7149923,0.6278366
1.0,9.0,1.0,4.0,16.0,0.6263956,0.59627736
1.0,15.0,1.0,2.0,21.0,0.6167766,0.6060122
1.0,5.0,2.0,2.0,18.0,0.43691394,0.37889132
1.0,15.0,1.0,3.0,12.0,0.65235543,0.55109084
1.0,15.0,1.0,2.0,22.0,0.49647912,0.5269331
1.0,9.0,1.0,4.0,11.0,0.46814463,0.5361136
1.0,8.0,2.0,4.0,13.0,0.5613842,0.4730439
1.0,6.0,1.0,4.0,23.0,0.36593315,0.36465582
1.0,15.0,1.0,2.0,8.0,0.58607185,0.47506067
1.0,10.0,1.0,3.0,8.0,0.61600256,0.555207
1.0,10.0,1.0,3.0,12.0,0.29605892,0.35082743
1.0,6.0,2.0,2.0,11.0,0.44539747,0.39130077
1.0,6.0,1.0,1.0,5.0,0.46509394,0.5646601
1.0,14.0,1.0,3.0,24.0,0.52105474,0.54980075
1.0,9.0,1.0,4.0,11.0,0.6617292,0.68570244
1.0,16.0,1.0,2.0,23.0,0.5273776,0.48958883
1.0,13.0,1.0,1.0,9.0,0.7850313,0.7993597
1.0,15.0,1.0,2.0,9.0,0.5983819,0.5657809
-0.0,7.0,2.0,1.0,9.0,0.4689125,0.412886
1.0,14.0,1.0,3.0,11.0,0.83586955,0.79939294
1.0,15.0,1.0,2.0,8.0,0.58505785,0.5940211
1.0,9.0,1.0,4.0,16.0,0.75384986,0.7441884
1.0,7.0,1.0,2.0,13.0,0.6518649,0.645861
1.0,15.0,1.0,3.0,8.0,0.7421578,0.66185653
1.0,5.0,1.0,4.0,14.0,0.25712058,0.3254449
0.0,14.0,1.0,3.0,15.0,0.7044128,0.61710477
1.0,15.0,1.0,3.0,21.0,0.4881203,0.48952278
1.0,7.0,1.0,3.0,8.0,0.41262206,0.4421589
1.0,10.0,1.0,2.0,6.0,0.5077858,0.41025802
1.0,9.0,1.0,1.0,6.0,0.8449111,0.8114675
1.0,15.0,1.0,1.0,9.0,0.8690764,0.76810265
1.0,13.0,1.0,3.0,9.0,0.87351596,0.80172336
1.0,14.0,1.0,3.0,11.0,0.7558894,0.6715847
1.0,13.0,1.0,4.0,11.0,0.7321589,0.64730847
0.0,13.0,1.0,3.0,9.0,0.97389174,0.78045106
1.0,5.0,2.0,2.0,8.0,0.3977395,0.4589735
1.0,5.0,2.0,5.0,13.0,0.2630013,0.29004285
1.0,15.0,1.0,2.0,7.0,0.66142297,0.586354
-0.0,15.0,1.0,1.0,7.0,0.6320362,0.5540284
1.0,4.0,1.0,3.0,9.0,0.22339639,0.31671736
1.0,15.0,1.0,2.0,8.0,0.67973804,0.70546234
1.0,14.0,1.0,2.0,7.0,0.68132424,0.6200422
-0.0,10.0,1.0,3.0,10.0,0.39843515,0.33843395
1.0,11.0,1.0,4.0,11.0,0.5598676,0.49446294
1.0,10.0,1.0,4.0,13.0,0.67514443,0.6418916
1.0,5.0,2.0,2.0,19.0,0.50957453,0.5756748
1.0,15.0,1.0,2.0,22.0,0.7774323,0.69819844
1.0,15.0,1.0,3.0,8.0,0.6259347,0.5904255
1.0,15.0,1.0,2.0,10.0,0.5544425,0.4874694
1.0,15.0,1.0,3.0,12.0,0.35417458,0.38621613
1.0,13.0,1.0,3.0,16.0,0.70895135,0.6174463
0.0,8.0,2.0,1.0,9.0,0.68756855,0.5811361
1.0,15.0,1.0,2.0,23.0,0.88850117,0.8258892
1.0,6.0,2.0,3.0,25.0,0.6534275,0.6879699
1.0,7.0,2.0,1.0,7.0,0.42087337,0.35855457
1.0,4.0,1.0,3.0,8.0,0.23552749,0.3160003
1.0,9.0,2.0,1.0,5.0,0.7995969,0.6931462
1.0,15.0,1.0,3.0,18.0,0.402446,0.43539152
1.0,16.0,1.0,1.0,5.0,0.8152189,0.7003596
